ID,PS5,Xbox,3rd Party
,Astro’s Playroom,Halo: Infinite,Control
,Demon’s Souls,Echo Generation,Assassin's Creed: Valhalla
,Destruction AllStars,Exomecha,Cyberpunk 2077
,Gran Turismo 7,State of Decay 3,Destiny 2
,Horizon Forbidden West,Forza Motorsport,Dirt 5
,Marvel’s Spider-Man: Miles Morales,Microsoft Flight Simulator,Far Cry 6
,Ratchet & Clank: Rift Apart,Tell Me Why,Hitman 3
,Returnal,Avowed,Scarlet Nexus
,Sackboy: A Big Adventure,The Outer Worlds: Peril on Gorgon,Yakuza: Like a Dragon
,Bugsnax,As Dusk Falls,Starfield
,Deathloop,Psychonauts 2,
,Ghostwire: Tokyo,Stalker 2,
,Godfall,"Warhammer 40,000: Darktide",
,Goodbye Volcano High,Tetris Effect: Connected,
,Jett: The Far Shore,Fable,
,Kena: Bridge of Spirits,The Gunk,
,Oddworld: Soulstorm,New Genesis: Phantasy Star Online 2,
,The Pathless,CrossfireX,
,Project Athia,Bright Memory Infinite,
,Stray,Chorus,
,Solar Ash,Scorn,
,Final Fantasy 7 Remake,Senua’s Saga: Hellblade 2,
,,Sherlock Holmes: Chapter One,
,,The Medium,
,,Vampire: The Masquerade – Bloodlines 2,
,,Watch Dogs: Legion,
,,Everwild,